matrix_id,matrix_yr,axis_1_value,axis_2_value,new_cell_value,matrix_name,cell_key,current_value,delta
3253,2026,Good,800,41.85945224934324,RES - U-BSMT,Good | 800,28.08,13.779452249343244
3253,2026,Low,1000,64.29641064926514,RES - U-BSMT,Low | 1000,15.41,48.886410649265144
3253,2026,Low,1200,61.54263835669441,RES - U-BSMT,Low | 1200,14.75,46.79263835669441
3253,2026,Low,1402,59.456447225959,RES - U-BSMT,Low | 1402,14.25,45.206447225959
3253,2026,Low,1600,57.95438961182952,RES - U-BSMT,Low | 1600,13.89,44.06438961182952
3253,2026,Low,1792,56.91129404646182,RES - U-BSMT,Low | 1792,13.64,43.27129404646182
3253,2026,Low,2210,54.74165527049699,RES - U-BSMT,Low | 2210,13.12,41.621655270496994
3253,2026,Low,400,74.1640946976436,RES - U-BSMT,Low | 400,20.03,54.134094697643604
3253,2026,Low,600,3.755144035323727,RES - U-BSMT,Low | 600,17.66,-13.904855964676273
3253,2026,Low,800,66.35339510417026,RES - U-BSMT,Low | 800,16.34,50.01339510417026
3253,2026,VGd,1000,61.4282651987393,RES - U-BSMT,VGd | 1000,31.38,30.048265198739298
3253,2026,VGd,1200,58.10041144354948,RES - U-BSMT,VGd | 1200,29.68,28.420411443549483
3253,2026,VGd,1400,56.57351383822708,RES - U-BSMT,VGd | 1400,28.9,27.67351383822708
3253,2026,VGd,1600,54.67467963673641,RES - U-BSMT,VGd | 1600,27.93,26.744679636736407
3253,2026,VGd,1800,54.00910888569845,RES - U-BSMT,VGd | 1800,27.59,26.419108885698453
3253,2026,VGd,2000,53.69589912050411,RES - U-BSMT,VGd | 2000,27.43,26.26589912050411
3253,2026,VGd,2200,53.32396252433583,RES - U-BSMT,VGd | 2200,27.24,26.083962524335835
3253,2026,VGd,3200,1.761804929218145,RES - U-BSMT,VGd | 3200,24.99,-23.228195070781855
3253,2026,VGd,4400,46.82485989655335,RES - U-BSMT,VGd | 4400,23.92,22.904859896553347
3799,2026,10,1000,33.99994818934045,Res - Detached Garage,10 | 1000,20.66,13.33994818934045
3799,2026,10,200,128.422001950086,Res - Detached Garage,10 | 200,50.64,77.78200195008601
3799,2026,10,400,73.07430564942148,Res - Detached Garage,10 | 400,30.26,42.81430564942147
3799,2026,10,600,52.21529073416491,Res - Detached Garage,10 | 600,27.08,25.13529073416491
3799,2026,10,800,41.03722692131413,Res - Detached Garage,10 | 800,22.8,18.23722692131413
3799,2026,10,999999,33.99994818934045,Res - Detached Garage,10 | 999999,20.66,13.33994818934045
3799,2026,20,1000,33.99994818934045,Res - Detached Garage,20 | 1000,22.44,11.55994818934045
3799,2026,20,200,128.422001950086,Res - Detached Garage,20 | 200,49.66,78.76200195008602
3799,2026,20,400,73.07430564942148,Res - Detached Garage,20 | 400,32.16,40.91430564942148
3799,2026,20,600,52.21529073416491,Res - Detached Garage,20 | 600,28.04,24.17529073416491
3799,2026,20,800,41.03722692131413,Res - Detached Garage,20 | 800,24.68,16.35722692131413
3799,2026,20,999999,33.99994818934045,Res - Detached Garage,20 | 999999,22.44,11.55994818934045
3799,2026,30,200,124.4068453945723,Res - Detached Garage,30 | 200,69.0,55.4068453945723
3799,2026,30,400,70.64213329863118,Res - Detached Garage,30 | 400,43.7,26.942133298631177
3799,2026,30,600,50.41556143347293,Res - Detached Garage,30 | 600,40.5,9.91556143347293
3799,2026,40,1000,55.2116081173064,Res - Detached Garage,40 | 1000,47.28,7.931608117306396
3799,2026,40,200,209.3780805041454,Res - Detached Garage,40 | 200,87.6,121.77808050414541
3799,2026,40,400,118.9350834396474,Res - Detached Garage,40 | 400,59.24,59.6950834396474
3799,2026,40,600,84.89933971363644,Res - Detached Garage,40 | 600,55.6,29.299339713636435
3799,2026,40,800,66.67646893709727,Res - Detached Garage,40 | 800,50.82,15.856468937097269
3799,2026,40,999999,55.2116081173064,Res - Detached Garage,40 | 999999,47.28,7.931608117306396
3799,2026,50,1000,55.2116081173064,Res - Detached Garage,50 | 1000,49.16,6.051608117306401
3799,2026,50,200,209.3780805041454,Res - Detached Garage,50 | 200,108.6,100.77808050414541
3799,2026,50,400,118.9350834396474,Res - Detached Garage,50 | 400,67.68,51.25508343964739
3799,2026,50,600,84.89933971363644,Res - Detached Garage,50 | 600,61.56,23.339339713636434
3799,2026,50,800,66.67646893709727,Res - Detached Garage,50 | 800,52.8,13.876468937097272
3799,2026,50,999999,55.2116081173064,Res - Detached Garage,50 | 999999,49.16,6.051608117306401
